timestamp,frame_id,class_id,class_name,confidence,x1,y1,x2,y2,inference_ms,end_to_end_fps
1788286854.1165752,1,3,laptop,0.89340,0.00,0.00,638.16,477.07,28.236,0.000
1788286854.409976,2,3,laptop,0.82628,0.00,0.00,638.44,476.33,34.381,0.311
1788286854.4803445,3,3,laptop,0.66132,0.00,0.00,640.00,479.41,38.154,0.610
1788286854.4808466,3,2,mouse,0.57824,512.92,0.00,640.00,167.92,38.154,0.610
1788286854.4813085,3,2,mouse,0.45489,0.00,0.00,639.02,480.00,38.154,0.610
1788286854.5721967,4,3,laptop,0.59266,0.00,0.00,640.00,476.87,55.260,0.894
1788286854.6565747,5,2,mouse,0.48899,493.54,0.00,640.00,236.67,48.396,1.162
1788286854.6571486,5,2,mouse,0.47797,0.00,0.00,637.69,476.21,48.396,1.162
1788286854.657631,5,3,laptop,0.43419,0.00,0.00,640.00,477.02,48.396,1.162
1788286854.7529194,6,2,mouse,0.64753,0.00,0.00,640.00,480.00,58.650,1.416
1788286854.8490827,7,2,mouse,0.46951,0.00,0.00,640.00,476.58,54.665,1.654
1788286854.9170907,8,2,mouse,0.83520,0.00,23.78,640.00,479.76,40.686,1.881
1788286854.9704068,9,2,mouse,0.66088,0.00,0.00,639.21,480.00,32.191,2.113
1788286855.0510545,10,2,mouse,0.95127,0.00,226.99,637.63,480.00,31.778,2.328
1788286855.0514605,10,2,mouse,0.88574,531.36,94.50,640.00,297.11,31.778,2.328
1788286855.0518053,10,2,mouse,0.72790,318.15,68.86,523.01,209.02,31.778,2.328
1788286855.1880147,11,2,mouse,0.65542,460.25,115.01,639.78,353.16,36.522,2.502
1788286855.1884904,11,2,mouse,0.55085,0.00,40.97,638.74,480.00,36.522,2.502
1788286855.3372762,12,2,mouse,0.84963,384.27,199.71,598.03,406.55,48.216,2.661
1788286855.3377724,12,2,mouse,0.48717,185.99,175.90,380.30,321.41,48.216,2.661
1788286855.3382866,12,2,mouse,0.38363,536.92,177.95,640.00,480.00,48.216,2.661
1788286855.4694896,13,2,mouse,0.96214,369.31,225.51,582.08,426.26,48.151,2.813
1788286855.4700267,13,2,mouse,0.85245,169.99,189.07,358.32,334.74,48.151,2.813
1788286855.4704566,13,2,mouse,0.76949,0.00,0.66,170.34,338.16,48.151,2.813
1788286855.601697,14,2,mouse,0.92764,360.79,227.19,583.01,426.09,48.282,2.956
1788286855.60221,14,2,mouse,0.91483,165.79,204.57,354.90,343.93,48.282,2.956
1788286855.6026702,14,2,mouse,0.57875,0.00,12.71,158.77,353.02,48.282,2.956
1788286855.7382722,15,2,mouse,0.96574,356.16,236.03,577.91,441.45,48.222,3.088
1788286855.7387717,15,2,mouse,0.84593,163.98,222.82,350.58,365.85,48.222,3.088
1788286855.7392633,15,2,mouse,0.73158,0.00,15.42,155.65,379.44,48.222,3.088
1788286855.7397358,15,2,mouse,0.45629,547.42,201.28,640.00,480.00,48.222,3.088
1788286855.8688376,16,2,mouse,0.97471,347.08,265.52,563.88,459.85,47.804,3.215
1788286855.8693573,16,2,mouse,0.94668,149.57,237.39,336.29,380.44,47.804,3.215
